"Series";"Time";"Value"
"wordpress";"2018-12-17T14:24:00+08:00";356,249,600
"wordpress";"2018-12-17T14:32:00+08:00";356,249,600
"wordpress";"2018-12-17T14:40:00+08:00";2,328,023,040
"wordpress";"2018-12-17T14:48:00+08:00";354,336,768
"wordpress";"2018-12-17T14:56:00+08:00";354,336,768
"wordpress";"2018-12-17T15:04:00+08:00";2,343,628,800
"wordpress";"2018-12-17T15:12:00+08:00";359,575,552
"wordpress";"2018-12-17T15:20:00+08:00";359,575,552
"wordpress";"2018-12-17T15:28:00+08:00";2,365,194,240
"wordpress";"2018-12-17T15:36:00+08:00";353,677,312
"wordpress";"2018-12-17T15:44:00+08:00";353,677,312
"wordpress";"2018-12-17T15:52:00+08:00";1,760,059,392
"wordpress";"2018-12-17T16:00:00+08:00";358,883,328
"wordpress";"2018-12-17T16:08:00+08:00";358,883,328
"wordpress";"2018-12-17T16:16:00+08:00";634,814,464
"wordpress";"2018-12-17T16:24:00+08:00";2,321,272,832
